,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
type,1.0,-0.48724088159364565,-0.6528745729239073,0.18712645482952933,0.34899977196279824,-0.5126217396491355,0.47164366490168064,0.7003571552968006,-0.3906453183543774,-0.3287267697207404,-0.48691627286378986,0.032969550684607024,0.11932328463610987
fixed acidity,-0.48724088159364565,1.0,0.2201724937725702,0.32373615693218843,-0.11231933079245777,0.298420816817692,-0.28331663722181927,-0.32974689109547684,0.45920357765547204,-0.25181384457228445,0.3003800790645117,-0.09560345699354113,-0.07703117911294263
volatile acidity,-0.6528745729239073,0.2201724937725702,1.0,-0.37806149252057264,-0.19670166550566265,0.3771667993794847,-0.35323048052283923,-0.4149283729027365,0.27119312274437296,0.2606597713541117,0.22547610522129147,-0.03824806775739283,-0.2659526166786974
citric acid,0.18712645482952933,0.32373615693218843,-0.37806149252057264,1.0,0.14248608051658376,0.03931515762462034,0.13343672267711243,0.19521797516311912,0.09632012015647687,-0.32868927184481816,0.05761333121813607,-0.010433072052304319,0.08570552304481849
residual sugar,0.34899977196279824,-0.11231933079245777,-0.19670166550566265,0.14248608051658376,1.0,-0.1289019743868678,0.40343900646070746,0.4958195283934035,0.5524977986378251,-0.26705015494158757,-0.18574474872987887,-0.35970612816476255,-0.03682477860152146
chlorides,-0.5126217396491355,0.298420816817692,0.3771667993794847,0.03931515762462034,-0.1289019743868678,1.0,-0.19504217826468973,-0.2795799884221651,0.36259392512549277,0.044806319192157364,0.39533241052574947,-0.25686064507332496,-0.20088605200402618
free sulfur dioxide,0.47164366490168064,-0.28331663722181927,-0.35323048052283923,0.13343672267711243,0.40343900646070746,-0.19504217826468973,1.0,0.7209340813785271,0.02571684214457835,-0.1451906459927426,-0.188489286473283,-0.17983843488934,0.05546305861663103
total sulfur dioxide,0.7003571552968006,-0.32974689109547684,-0.4149283729027365,0.19521797516311912,0.4958195283934035,-0.2795799884221651,0.7209340813785271,1.0,0.03239451234667409,-0.2376866822495954,-0.27538104340458514,-0.2657396391071597,-0.041385453855611855
density,-0.3906453183543774,0.45920357765547204,0.27119312274437296,0.09632012015647687,0.5524977986378251,0.36259392512549277,0.02571684214457835,0.03239451234667409,1.0,0.011919965051276661,0.2594542830858634,-0.6867454216812985,-0.3058579060694139
pH,-0.3287267697207404,-0.25181384457228445,0.2606597713541117,-0.32868927184481816,-0.26705015494158757,0.044806319192157364,-0.1451906459927426,-0.2376866822495954,0.011919965051276661,1.0,0.1912483772832315,0.1210016284994876,0.01936601977555175
sulphates,-0.48691627286378986,0.3003800790645117,0.22547610522129147,0.05761333121813607,-0.18574474872987887,0.39533241052574947,-0.188489286473283,-0.27538104340458514,0.2594542830858634,0.1912483772832315,1.0,-0.003260933860662376,0.03872861471241905
alcohol,0.032969550684607024,-0.09560345699354113,-0.03824806775739283,-0.010433072052304319,-0.35970612816476255,-0.25686064507332496,-0.17983843488934,-0.2657396391071597,-0.6867454216812985,0.1210016284994876,-0.003260933860662376,1.0,0.4443185200075169
quality,0.11932328463610987,-0.07703117911294263,-0.2659526166786974,0.08570552304481849,-0.03682477860152146,-0.20088605200402618,0.05546305861663103,-0.041385453855611855,-0.3058579060694139,0.01936601977555175,0.03872861471241905,0.4443185200075169,1.0
